,Game-title,Genre
484,DOOM II Hell on Earth,Shooter
485,Darwinia,Real Time Strategy (RTS)
486,Deadlight Original Soundtrack,Genre not found
487,DeathSpank,Fighting
488,DeathSpank Thongs Of Virtue,Role-playing (RPG)
489,Defense Grid 2,Real Time Strategy (RTS)
490,Defense Grid Resurgence Map Pack 1,Strategy
491,Defense Grid Resurgence Map Pack 2 ,Strategy
492,Defense Grid Resurgence Map Pack 3,Strategy
493,Defense Grid Resurgence Map Pack 4,Strategy
494,Defense Grid The Awakening,Real Time Strategy (RTS)
495,Dino D-Day,Shooter
496,Divinity II Developer's Cut,Role-playing (RPG)
497,Doc Clock The Toasted Sandwich of Time,Platform
498,DogFighter,Simulator
499,Dungeonland,Role-playing (RPG)
500,Dungeonland - All access pass,Genre not found
501,Dust An Elysian Tail,Platform
502,Dwarfs!?,Role-playing (RPG)
503,EDGE,Platform
504,Eets Munchies,Platform
505,Empire Total War,Real Time Strategy (RTS)
506,Europa Universalis III,Real Time Strategy (RTS)
507,FEZ,Genre not found
508,Faerie Solitaire,Puzzle
509,Far Cry 2,Shooter
510,Far Cry 2 Fortunes Pack,Genre not found
511,Far Cry 3 Blood Dragon,Shooter
512,Fate of the World,Simulator
513,Finding Teddy,Music
514,Finding Teddy Soundtrack,Genre not found
515,Floating Point,Platform
516,Foreign Legion Buckets of Blood,Shooter
517,Foul Play,Adventure
518,Frozen Synapse,Shooter
519,Galaxy on Fire 2 Full HD,Genre not found
520,Galcon Fusion,Real Time Strategy (RTS)
521,Game of Thrones ,Role-playing (RPG)
522,Gemini Rue,Point-and-click
523,Geneforge 1,Role-playing (RPG)
524,Geneforge 2,Role-playing (RPG)
525,Geneforge 3,Role-playing (RPG)
526,Geneforge 4,Role-playing (RPG)
527,Geneforge 5,Role-playing (RPG)
528,Geometry Wars Retro Evolved,Arcade
529,Giana Sisters Twisted Dreams,Platform
530,Gratuitous Space Battles,Real Time Strategy (RTS)
531,"Hack, Slash, Loot",Role-playing (RPG)
532,Hacker Evolution - Untold,Simulator
533,Hacker Evolution Duality,Indie
534,Half Minute Hero Super Mega Neo Climax Ultimate Boy,Shooter
535,Hammerfight,Fighting
536,Hammerwatch,Role-playing (RPG)
537,Hard Reset,Shooter
538,Hard Reset Exile DLC,Genre not found
539,Home,Indie
540,"I Have No Mouth, and I Must Scream",Point-and-click
541,Indie Game The Movie,Genre not found
542,Iron Grip Warlord,Shooter
543,Jamestown,Shooter
544,Jolly Rover,Point-and-click
545,King's Bounty Armored Princess,Role-playing (RPG)
546,King's Bounty Crossworlds,Role-playing (RPG)
547,Leviathan Warships,Strategy
548,MacGuffin's Curse,Puzzle
549,Madballs in...Babo Invasion,Genre not found
550,Magicka Nippon,Role-playing (RPG)
551,Magicka Vietnam,Role-playing (RPG)
552,Magicka Wizard's Survival Kit,Role-playing (RPG)
553,Master Levels for DOOM II,Shooter
554,McPixel,Point-and-click
555,Medieval II Total War,Strategy
556,Medieval II Total War Kingdoms,Strategy
557,Memoria,Point-and-click
558,Midnight Club II,Racing
559,Mirror's Edge,Shooter
560,Monster Loves You!,Puzzle
561,Mount & Blade Warband,Shooter
562,Multiwinia,Real Time Strategy (RTS)
563,Napoleon Total War,Real Time Strategy (RTS)
564,Nethergate Resurrection,Role-playing (RPG)
565,NightSky,Shooter
566,Nimbus,Adventure
567,Oddworld Abe's Oddysee,Platform
568,Offspring Fling!,Platform
569,"On the Rain-Slick Precipice of Darkness, Episode One",Role-playing (RPG)
570,"On the Rain-Slick Precipice of Darkness, Episode Two",Role-playing (RPG)
571,Orcs Must Die!,Shooter
572,PAYDAY The Heist,Shooter
573,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,Role-playing (RPG)
